shooterPlayerId,shooterName,team,shooterLeftRight,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,event,location,shotType,shotAngle,shotAnglePlusRebound,shotDistance,shotOnEmptyNet,shotRebound,shotRush,shotWasOnGoal,shotGeneratedRebound,shotGoalieFroze,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedYCord,goalieIdForShot,goalieNameForShot,teamCode,isHomeTeam,homeSkatersOnIce,awaySkatersOnIce,game_id,homeTeamCode,awayTeamCode,homeTeamGoals,awayTeamGoals,time,period
8475745,Charlie Coyle,AWAY,R,21,13,SHOT,HOMEZONE,TIP,23.9624889746,0,9.8488578018,0,0,0,1,1,0,9.8488578018,-80,-4,8477293,Antti Raanta,BOS,0,4,5,30131,CAR,BOS,0,0,1783,2
8475745,Charlie Coyle,AWAY,R,23,15,MISS,HOMEZONE,WRIST,0,23.9624889746,12,0,1,0,0,0,0,15,-74,-0,8477293,Antti Raanta,BOS,0,4,5,30131,CAR,BOS,0,0,1785,2
8478427,Sebastian Aho,HOME,L,16,16,SHOT,AWAYZONE,WRIST,-10.0079798014,0,34.5253530033,0,0,0,1,0,0,37,53,-6,8476999,Linus Ullmark,CAR,1,4,5,30131,CAR,BOS,0,0,1811,2
8480829,Jesperi Kotkaniemi,HOME,L,61,61,MISS,AWAYZONE,TIP,-26.5650511771,0,8.94427191,0,0,0,0,0,0,8.94427191,81,-4,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1878,2
8470638,Patrice Bergeron,AWAY,R,27,27,SHOT,HOMEZONE,TIP,0,0,14,0,0,0,1,0,0,18,-71,-0,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1913,2
8474013,Ian Cole,HOME,L,10,10,SHOT,AWAYZONE,WRIST,31.1088088285,0,67.7421582178,0,0,0,1,0,1,71,28,37,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,2021,2
8474090,Brendan Smith,HOME,L,4,4,SHOT,AWAYZONE,WRIST,39.8055710923,0,62.4819974073,0,0,0,1,0,0,59,44,38,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,2026,2
8477931,Tomas Nosek,AWAY,L,43,43,SHOT,HOMEZONE,WRIST,6.34019174591,0,18.1107702763,0,0,0,1,1,0,22,-67,-2,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,2065,2
8477931,Tomas Nosek,AWAY,L,44,44,MISS,HOMEZONE,BACK,8.13010235416,1.78991060825,7.07106781187,0,1,0,0,0,0,7.07106781187,-82,-1,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,2066,2
8477931,Tomas Nosek,AWAY,L,51,51,MISS,HOMEZONE,WRIST,-6.84277341263,0,25.179356624,0,0,0,0,0,0,29,-60,3,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,2073,2
8479325,Charlie McAvoy,AWAY,R,17,17,MISS,HOMEZONE,WRAP,38.6598082541,0,12.8062484749,0,0,0,0,0,0,17,-76,-11,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,2122,2
8477950,Tony DeAngelo,HOME,R,26,26,MISS,AWAYZONE,SNAP,45.8814039966,0,45.9673797382,0,0,0,0,0,0,48,56,34,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,2155,2
8482093,Seth Jarvis,HOME,R,60,60,GOAL,AWAYZONE,TIP,-23.9624889746,0,9.8488578018,0,0,0,1,0,0,9.8488578018,80,-4,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,2188,2
8473422,Nick Foligno,AWAY,L,31,31,SHOT,HOMEZONE,WRIST,-74.8759926917,0,38.3275357935,0,0,0,1,0,0,39,-79,38,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,1,0,2275,2
8476921,Jordan Martinook,HOME,L,47,47,SHOT,AWAYZONE,WRIST,31.7594800848,0,24.6981780705,0,0,0,1,0,0,29,64,15,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,1,0,2289,2
8475799,Nino Niederreiter,HOME,L,12,12,GOAL,AWAYZONE,SNAP,22.2490236572,0,47.539457296,0,0,0,1,0,0,49,44,19,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,1,0,2318,2
8479325,Charlie McAvoy,AWAY,R,20,20,MISS,HOMEZONE,WRIST,-64.1790080258,0,34.4383507154,0,0,0,0,0,0,36,-73,32,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2338,2
8477956,David Pastrnak,AWAY,R,24,24,SHOT,HOMEZONE,SNAP,60.2551187031,124.434126729,40.3112887415,0,0,0,1,0,0,40,-69,-35,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2342,2
8477956,David Pastrnak,AWAY,R,35,35,SHOT,HOMEZONE,WRIST,31.8274465767,0,68.2641926635,0,0,0,1,0,0,71,29,37,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2459,3
8475225,Craig Smith,AWAY,R,16,16,SHOT,HOMEZONE,WRIST,-50.1944289077,0,23.4307490277,0,0,0,1,0,0,28,71,-22,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2484,3
8475745,Charlie Coyle,AWAY,R,25,25,SHOT,HOMEZONE,WRIST,-39.6854543301,10.5089745777,61.0737259384,0,0,0,1,0,0,58,44,-37,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2493,3
8477956,David Pastrnak,AWAY,R,14,14,MISS,HOMEZONE,WRIST,-51.5198017517,0,49.8196748283,0,0,0,0,0,0,50,58,-39,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2563,3
8475791,Taylor Hall,AWAY,L,23,23,GOAL,HOMEZONE,WRIST,1.46880071439,52.988602466,39.0128184063,0,0,0,1,0,0,40,49,1,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,0,2573,3
8477956,David Pastrnak,AWAY,R,11,11,SHOT,HOMEZONE,BACK,65.2248594312,65.2248594312,14.3178210633,0,0,0,1,0,0,18,81,16,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,1,2741,3
8477956,David Pastrnak,AWAY,R,29,29,MISS,HOMEZONE,SNAP,-26.9802307182,0,61.7170964968,0,0,0,0,0,0,59,36,-27,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,1,2759,3
8475791,Taylor Hall,AWAY,L,30,30,MISS,HOMEZONE,SNAP,14.4702941001,41.4505248183,32.0156211872,0,0,0,0,0,0,35,55,9,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,1,2767,3
8475287,Erik Haula,AWAY,L,47,47,MISS,HOMEZONE,BACK,-3.17983011986,17.6501242199,18.0277563773,0,0,0,0,0,0,22,67,-1,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,1,2775,3
8475791,Taylor Hall,AWAY,L,78,39,MISS,HOMEZONE,SNAP,-33.9964591483,0,51.8652099196,0,0,0,0,0,0,51,47,-29,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,2,1,2815,3
8476882,Teuvo Teravainen,HOME,L,15,15,GOAL,AWAYZONE,WRIST,30.0685828219,0,21.9544984001,0,0,0,1,0,0,27,-66,-14,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,2,1,2822,3
8476882,Teuvo Teravainen,HOME,L,50,35,MISS,AWAYZONE,TIP,-2.29061004264,0,25.0199920064,0,0,0,0,0,0,29,-60,1,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,3,1,2857,3
8477365,Connor Clifton,AWAY,R,11,11,SHOT,HOMEZONE,WRIST,-69.4439547804,0,42.7200187266,0,0,0,1,0,0,43,74,-40,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,2869,3
8479365,Trent Frederic,AWAY,L,11,11,SHOT,HOMEZONE,SNAP,67.6937949451,0,42.1544778167,0,0,0,1,0,1,42,73,39,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,2979,3
8477365,Connor Clifton,AWAY,R,28,16,SHOT,HOMEZONE,SLAP,-26.9958383941,0,59.4810894319,0,0,0,1,0,0,56,39,-25,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,2996,3
8478427,Sebastian Aho,HOME,L,32,32,SHOT,AWAYZONE,WRIST,0,0,61,0,0,0,1,0,0,58,-31,-0,8476999,Linus Ullmark,CAR,1,4,5,30131,CAR,BOS,3,1,3057,3
8480039,Martin Necas,HOME,R,34,23,MISS,AWAYZONE,WRIST,28.0724869359,0,17,0,0,0,0,0,0,21,-70,-10,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,3,1,3158,3
8473419,Brad Marchand,AWAY,L,19,19,SHOT,HOMEZONE,SNAP,62.7004277887,0,34.885527085,0,0,0,1,0,1,37,72,33,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,3232,3
8475225,Craig Smith,AWAY,R,15,15,SHOT,HOMEZONE,WRIST,-35.537677792,0,17.2046505341,0,0,0,1,0,0,21,72,-12,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,3287,3
8475225,Craig Smith,AWAY,R,37,37,SHOT,HOMEZONE,SLAP,1.00508600525,0,57.008771255,0,0,0,1,0,1,55,34,1,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,3309,3
8476869,Brady Skjei,HOME,L,9,9,SHOT,AWAYZONE,BACK,-38.6598082541,0,6.40312423743,0,0,0,1,0,0,6.40312423743,-84,4,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,3,1,3319,3
8475225,Craig Smith,AWAY,R,27,27,MISS,Neu. Zone,SNAP,-2.66300076607,0,86.0929730001,0,0,0,0,0,0,89,0,-4,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,3,1,3376,3
8476389,Vincent Trocheck,HOME,R,22,22,GOAL,AWAYZONE,BACK,85.91438322,85.91438322,14.0356688476,0,0,0,1,0,0,18,-90,-14,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,3,1,3419,3
8470638,Patrice Bergeron,AWAY,R,39,17,MISS,HOMEZONE,WRIST,-42.1375947739,0,56.639209034,0,0,0,0,0,0,55,48,-37,8477293,Antti Raanta,BOS,0,5,6,30131,CAR,BOS,4,1,3436,3
8480830,Andrei Svechnikov,HOME,L,9,9,GOAL,AWAYZONE,SNAP,-40.601294645,0,27.6586333719,1,0,0,1,0,0,32,-65,21,0,NA,CAR,1,5,6,30131,CAR,BOS,4,1,3479,3
8477503,Max Domi,HOME,L,33,33,SHOT,AWAYZONE,SLAP,43.3634229584,0,24.7588368063,0,0,0,1,0,0,29,-68,-20,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,5,1,3560,3
8478519,Anthony Cirelli,AWAY,L,24,24,MISS,HOMEZONE,WRIST,83.6598082541,0,9.05538513814,0,0,0,0,0,0,9.05538513814,90,9,8475789,Jack Campbell,TBL,0,5,5,30121,TOR,TBL,0,0,24,1
8477939,William Nylander,HOME,R,17,17,SHOT,AWAYZONE,WRIST,-37.8749836511,0,22.803508502,0,0,0,1,0,0,22,-72,14,8476883,Andrei Vasilevskiy,TOR,1,5,5,30121,TOR,TBL,0,0,41,1
8477939,William Nylander,HOME,R,24,24,SHOT,AWAYZONE,WRIST,48.576334375,86.4513180261,22.6715680975,0,0,0,1,0,0,22,-74,-16,8476883,Andrei Vasilevskiy,TOR,1,5,5,30121,TOR,TBL,0,0,48,1
8474564,Steven Stamkos,AWAY,R,27,14,SHOT,HOMEZONE,SLAP,48.8140748343,0,42.5205832509,0,0,0,1,0,0,43,61,32,8475789,Jack Campbell,TBL,0,4,5,30121,TOR,TBL,0,0,147,1
8478483,Mitchell Marner,HOME,R,50,44,MISS,AWAYZONE,BACK,-14.0362434679,0,8.24621125124,0,0,0,0,0,0,8.24621125124,-81,2,8476883,Andrei Vasilevskiy,TOR,1,5,5,30121,TOR,TBL,0,0,316,1
8477021,Alexander Kerfoot,HOME,L,19,19,MISS,AWAYZONE,WRIST,-33.0238675558,0,23.8537208838,0,0,0,0,0,0,22,-71,12,8476883,Andrei Vasilevskiy,TOR,1,4,5,30121,TOR,TBL,0,0,461,1
8474673,TJ Brodie,HOME,L,40,40,SHOT,AWAYZONE,BACK,-35.537677792,0,17.2046505341,0,0,0,1,0,0,15,-77,9,8476883,Andrei Vasilevskiy,TOR,1,4,5,30121,TOR,TBL,0,0,543,1
8470966,Mark Giordano,HOME,L,28,28,MISS,AWAYZONE,WRIST,53.1301023542,0,20,0,0,0,0,0,0,18,-78,-14,8476883,Andrei Vasilevskiy,TOR,1,4,5,30121,TOR,TBL,0,0,566,1
