Player,box_prior,FIFA_prior,box_coef,box_rating,FIFA_coef,FIFA_rating
Ben Davies,0.004596668435526974,-0.07956981651542328,-0.013992030736461651,-0.009395362300934677,-0.015110276482391626,-0.09468009299781491
Emerson,0.0047675566534226554,0.00808002318462564,-0.013112510580044666,-0.00834495392662201,-0.016300405071246454,-0.008220381886620814
Sergio Reguilón,0.0194779051340781,0.037296636417975426,-0.010519250256596885,0.008958654877481214,-0.01526238201210438,0.022034254405871048
Cristian Romero,0.020820796510977013,0.0519049430346501,-0.010236234195758264,0.01058456231521875,-0.010628977326402004,0.0412759657082481
Lucas Moura,5.002684431527626e-4,0.037296636417975426,-0.00975156877833867,-0.009251300335185907,-0.01377980909995489,0.023516827318020538
Davinson Sánchez,0.02529774431038123,0.00808002318462564,-0.0070349142573760725,0.01826283005300516,-0.009742575127269164,-0.001662551942643524
Rodrigo Bentancur,0.07996059083064488,-0.006528283432049031,-0.008227192945443912,0.07173339788520097,-0.008363405297360797,-0.014891688729409828
Oliver Skipp,-0.006323545573201139,-0.05035320328207349,-0.0065728890878741,-0.012896434661075238,-0.00991468762036696,-0.060267890902440446
Dejan Kulusevski,0.07520581097784063,0.037296636417975426,-0.007068334841083905,0.06813747613675672,-0.007053861294996231,0.030242775122979196
Ryan Sessegnon,-0.0024379908417020424,-0.05035320328207349,-0.005189141676896996,-0.007627132518599039,-0.004600540819388061,-0.054953744101461546
Japhet Tanganga,-0.0011652284890995013,-0.005407882334605096,-0.0027240693665115737,-0.003889297855611075,-0.004554038829096752,-0.00996192116370185
Harry Winks,0.004343441608348542,-0.021136590048723924,-0.003450586760556542,8.928548477919996e-4,-0.004293782395541086,-0.02543037244426501
Matt Doherty,-0.0011652284890995013,-0.005407882334605096,-0.003826215718090735,-0.004991444207190237,-0.003097887077177073,-0.008505769411782169
Dele Alli,-0.0011652284890995013,-0.005407882334605096,-9.543705962674914e-4,-0.0021195990853669928,-0.002783280377387581,-0.008191162711992678
Tanguy Ndombele,-0.0011652284890995013,-0.005407882334605096,-0.001779535861207758,-0.0029447643503072592,-0.0025134695802823577,-0.007921351914887454
Steven Bergwijn,-0.0011652284890995013,-0.005407882334605096,-0.0014628979692116212,-0.0026281264583111223,-0.0014687010911957885,-0.0068765834258008845
Giovani Lo Celso,-0.0011652284890995013,-0.005407882334605096,-1.6618385689399449e-4,-0.0013314123459934957,4.3989900308939094e-4,-0.004967983331515705
Bryan,-0.0011652284890995013,-0.005407882334605096,-1.501095508349913e-4,-0.0013153380399344927,-1.6204710947025246e-4,-0.005569929444075349
Joe Rodon,-0.0011652284890995013,-0.005407882334605096,-4.350450512229164e-4,-0.0016002735403224176,-9.916450960066043e-4,-0.006399527430611701
Dane Scarlett,-0.0011652284890995013,-0.005407882334605096,-3.4072393777352565e-5,-0.0011993008828768538,-4.311108996696103e-5,-0.0054509934245720575
Brandon Austin,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Jamie Bowden,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Matthew Craig,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Alfie Devine,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Pierluigi Gollini,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Marcel Lavinier,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Dilan Markanday,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Tobi Omole,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Moussa Sissoko,-0.010430916633712428,-0.006528283432049031,0.013753587543623684,0.0033226709099112555,0.021278661652343694,0.014750378220294662
Harvey White,-0.0011652284890995013,-0.005407882334605096,NA,NA,NA,NA
Bukayo Saka,0.05675618011043859,0.022688329801300533,-0.0014763380335462302,0.05527984207689236,0.002032120179912302,0.024720449981212835
Gabriel Dos Santos,0.039364176995956957,0.00808002318462564,-0.0018825229561856727,0.03748165403977129,0.0023975585768583963,0.010477581761484035
