Player,weighted_pred,scaled_pred,adj_overall,total_min,adj_scaled,pred_scaled,pred_scaled_int
Scott McTominay,79.06202638571598,0.2624162050623563,80,2387,0.022688329801300533,0.008986123645488897,0.013120810253117815
Cristiano Ronaldo,85.19734690686609,2.5792980659586893,91,2456,0.18337970258472347,0.09861276701002675,0.12896490329793447
Victor Lindelöf,78.89075348996198,0.1977383998739084,80,2355,0.022688329801300533,0.006484116669188689,0.00988691999369542
Fred,80.49114098472889,0.8020929310265364,81,2028,0.037296636417975426,0.029863067898235673,0.040104646551326825
Jadon Sancho,78.22176776961031,-0.05489076193407206,87,1900,0.12494647611802412,-0.003288631855885571,-0.002744538096703603
Raphaël Varane,77.77426611904092,-0.22388086658324843,86,1831,0.11033816950134945,-0.009825873178871403,-0.011194043329162422
Aaron Wan-Bissaka,79.17763055765319,0.30607182306665365,83,1793,0.06651324965132499,0.010674904835314303,0.015303591153332682
Diogo Dalot,76.71093987179664,-0.6254248912128558,76,1801,-0.03574489666539882,-0.025359269032174003,-0.03127124456064279
Luke Shaw,79.96573879574395,0.6036852362470879,84,1601,0.08112155626799966,0.022187831624471466,0.030184261812354396
Alex Telles,76.94697914852338,-0.5362893494229763,82,1660,0.0519049430346501,-0.021911134904171625,-0.026814467471148816
Nemanja Matić,79.01115104057985,0.24320414207291455,79,1382,0.00808002318462564,0.008242921004511183,0.012160207103645727
Paul Pogba,86.0968185059486,2.918965639172134,87,1349,0.12494647611802412,0.11175252392241486,0.1459482819586067
Mason Greenwood,81.74720189617713,1.2764193711665908,78,1271,-0.006528283432049031,0.04821199082189165,0.06382096855832954
Anthony Elanga,77.39723190316664,-0.3662603449959962,65,1214,-0.19643626944882175,-0.01533370460934047,-0.01831301724979981
Marcus Rashford,74.9682239886867,-1.2835269095759425,85,1235,0.09572986288467455,-0.05081739699839316,-0.06417634547879712
Edinson Cavani,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Eric Bailly,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Jesse Lingard,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Juan Mata,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Anthony Martial,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Phil Jones,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Daniel James,76.11480577338304,-0.8505430858556599,77,2366,-0.021136590048723924,-0.03406777872645472,-0.04252715429278299
Hannibal Mejbri,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Donny van de Beek,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Shola Shoretire,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Alejandro Garnacho,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Amad Diallo,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Álvaro Fernández,78.46306311934502,0.03622963136759618,73,1080,-0.07956981651542328,2.3628459821689596e-4,0.0018114815683798091
Tom Heaton,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Dean Henderson,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Andreas Pereira,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Charlie Savage,78.36712365667543,0,NA,NA,-0.00540788233460503,-0.0011652284890995013,0
Brandon Williams,75.29191676241653,-1.1612907666763888,75,2120,-0.05035320328207349,-0.04608879371014574,-0.058064538333819436
Łukasz Fabiański,82.67970877025084,1.6285620594344103,82,3330,0.0519049430346501,0.06183433716051745,0.08142810297172051
Declan Rice,81.66053349018381,1.2436907700989672,82,3179,0.0519049430346501,0.046945912173162796,0.06218453850494836
Tomáš Souček,78.01537819045292,-0.13282968469766113,82,3062,0.0519049430346501,-0.006303634110703227,-0.006641484234883056
Jarrod Bowen,81.85575389213517,1.3174118750679396,78,2983,-0.006528283432049031,0.04979775166269884,0.06587059375339697
Michail Antonio,80.7583727662969,0.9030077023470544,79,2971,0.00808002318462564,0.033766871701101486,0.04515038511735272
